2020-05-24 08:47:12.632 sszserver [main] INFO  com.hello.adminservice.AdminserviceApplication - The following profiles are active: local
2020-05-24 08:47:18.988 sszserver [main] WARN  o.springframework.boot.actuate.endpoint.EndpointId - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-05-24 08:47:19.464 sszserver [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=4b62c1d4-64c6-3e3a-9ab3-f0bf616dde30
2020-05-24 08:47:20.434 sszserver [main] INFO  org.eclipse.jetty.util.log - Logging initialized @16132ms to org.eclipse.jetty.util.log.Slf4jLog
2020-05-24 08:47:20.617 sszserver [main] INFO  o.s.b.w.e.jetty.JettyServletWebServerFactory - Server initialized with port: 8081
2020-05-24 08:47:20.620 sszserver [main] INFO  org.eclipse.jetty.server.Server - jetty-9.4.28.v20200408; built: 2020-04-08T17:49:39.557Z; git: ab228fde9e55e9164c738d7fa121f8ac5acd51c9; jvm 1.8.0_181-b13
2020-05-24 08:47:20.656 sszserver [main] INFO  o.e.j.server.handler.ContextHandler.application - Initializing Spring embedded WebApplicationContext
2020-05-24 08:47:20.657 sszserver [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 7926 ms
2020-05-24 08:47:21.041 sszserver [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-05-24 08:47:21.041 sszserver [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-24 08:47:21.097 sszserver [main] INFO  com.netflix.config.DynamicPropertyFactory - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@58182b96
2020-05-24 08:47:26.166 sszserver [main] INFO  org.eclipse.jetty.server.session - DefaultSessionIdManager workerName=node0
2020-05-24 08:47:26.166 sszserver [main] INFO  org.eclipse.jetty.server.session - No SessionScavenger set, using defaults
2020-05-24 08:47:26.176 sszserver [main] INFO  org.eclipse.jetty.server.session - node0 Scavenging every 660000ms
