2020-05-10 15:15:17.991 sszserver [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 24ms. Found 0 Redis repository interfaces.
2020-05-10 15:15:18.555 sszserver [main] INFO  org.eclipse.jetty.util.log - Logging initialized @4573ms to org.eclipse.jetty.util.log.Slf4jLog
2020-05-10 15:15:18.667 sszserver [main] INFO  o.s.b.w.e.jetty.JettyServletWebServerFactory - Server initialized with port: 8081
2020-05-10 15:15:18.670 sszserver [main] INFO  org.eclipse.jetty.server.Server - jetty-9.4.28.v20200408; built: 2020-04-08T17:49:39.557Z; git: ab228fde9e55e9164c738d7fa121f8ac5acd51c9; jvm 1.8.0_181-b13
2020-05-10 15:15:18.683 sszserver [main] INFO  o.e.j.server.handler.ContextHandler.application - Initializing Spring embedded WebApplicationContext
2020-05-10 15:15:18.684 sszserver [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2003 ms
2020-05-10 15:15:18.819 sszserver [main] INFO  org.eclipse.jetty.server.session - DefaultSessionIdManager workerName=node0
2020-05-10 15:15:18.819 sszserver [main] INFO  org.eclipse.jetty.server.session - No SessionScavenger set, using defaults
2020-05-10 15:15:18.820 sszserver [main] INFO  org.eclipse.jetty.server.session - node0 Scavenging every 660000ms
2020-05-10 15:15:18.826 sszserver [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.s.b.w.e.j.JettyEmbeddedWebAppContext@7ef41ca2{application,/olisserver,[file:///C:/Users/Hello_Earth/AppData/Local/Temp/jetty-docbase.5425701477313195030.8081/, jar:file:/D:/work/java/app/maven-repository/maven-repository/repository/io/springfox/springfox-swagger-ui/2.9.2/springfox-swagger-ui-2.9.2.jar!/META-INF/resources],AVAILABLE}
2020-05-10 15:15:18.827 sszserver [main] INFO  org.eclipse.jetty.server.Server - Started @4844ms
2020-05-10 15:15:18.985 sszserver [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2020-05-10 15:15:19.025 sszserver [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.15.Final
2020-05-10 15:15:19.167 sszserver [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-05-10 15:15:19.353 sszserver [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-2} inited
2020-05-10 15:15:19.364 sszserver [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.Oracle12cDialect
2020-05-10 15:15:19.656 sszserver [main] WARN  org.hibernate.mapping.RootClass - HHH000038: Composite-id class does not override equals(): com.hello.adminservice.entity.system.LoggingEventException
2020-05-10 15:15:19.656 sszserver [main] WARN  org.hibernate.mapping.RootClass - HHH000039: Composite-id class does not override hashCode(): com.hello.adminservice.entity.system.LoggingEventException
2020-05-10 15:15:43.101 sszserver [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-05-10 15:15:43.108 sszserver [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-05-10 15:15:43.613 sszserver [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-05-10 15:15:44.950 sszserver [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-05-10 15:15:45.033 sszserver [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/'], []
2020-05-10 15:15:45.033 sszserver [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/#/**'], []
2020-05-10 15:15:45.033 sszserver [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/index.html'], []
2020-05-10 15:15:45.033 sszserver [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/upload/**'], []
2020-05-10 15:15:45.033 sszserver [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/static/**'], []
2020-05-10 15:15:45.034 sszserver [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/login_p'], []
2020-05-10 15:15:45.034 sszserver [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/common/init'], []
2020-05-10 15:15:45.034 sszserver [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/common/getRegions'], []
2020-05-10 15:15:45.034 sszserver [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/swagger-ui.html**'], []
2020-05-10 15:15:45.034 sszserver [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/druid/**'], []
2020-05-10 15:15:45.034 sszserver [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/**/*.*'], []
2020-05-10 15:15:45.034 sszserver [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/mobile/**'], []
2020-05-10 15:15:45.034 sszserver [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/bugs/**'], []
2020-05-10 15:15:45.034 sszserver [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/olisserver/actuator/**'], []
2020-05-10 15:15:45.186 sszserver [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@14fed48e, org.springframework.security.web.context.SecurityContextPersistenceFilter@2d839402, org.springframework.security.web.header.HeaderWriterFilter@28fa0ff8, org.springframework.web.filter.CorsFilter@749054a3, org.springframework.security.web.authentication.logout.LogoutFilter@1e368085, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@295f115d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@645a9649, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2976d625, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@bf70ce5, org.springframework.security.web.session.SessionManagementFilter@4698ae6, org.springframework.security.web.access.ExceptionTranslationFilter@3118ed2c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@642270ad]
2020-05-10 15:15:45.245 sszserver [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-10 15:15:45.441 sszserver [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-05-10 15:15:45.474 sszserver [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2020-05-10 15:15:45.490 sszserver [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-05-10 15:15:45.524 sszserver [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2020-05-10 15:15:45.665 sszserver [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: brandsUsingGET_1
2020-05-10 15:15:45.683 sszserver [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: oneCarsUsingGET_1
